id,Municipality,Description
1,Benoni,
2,Bergville,
3,Bloemfontein,
4,Botshabelo,
5,Cala,
6,Cape Town,
7,Dihlabeng,
8,Dundee,
9,Durban,
10,East London,
11,Eastern Cape,
12,Ekurhuleni,
13,Emalahleni,
14,Empangeni,
15,Ficksburg,
16,Fochville,
17,Free State,
18,Greytown,
19,Harrismith,
20,Hluhluwe,
21,Idutywa,
22,Jane Furse,
23,Johannesburg,
24,Jozini,
25,Kimberley,
26,King William's Town,
27,Kranskop,
28,Krugersdorp,
29,KwaZulu-Natal,
30,Ladysmith,
31,Lephalale,
32,Limpopo,
33,Lusikisiki,
34,Mahikeng,
35,Malamulele,
36,Malelane,
37,Manguzi,
38,Modjadjiskloof,
39,Moletlane,
40,Mount Frare,
41,Mpumalanga,
42,Mthatha,
43,Mtubatuba,
44,Nelspruit,
45,New Castle,
46,Nkandla,
47,Nkowankowa-A,
48,Nongoma,
49,North West,
50,Northam,
51,Paulpietersburg,
52,Phalaborwa,
53,Phuthaditjhaba,
54,Pietermaritzburg,
55,Polokwane,
56,Pongola,
57,Port Elizabeth,
58,Port Shepstone,
59,Pretoria Rural,
60,Randfontein,
61,Secunda,
62,Sedibeng,
63,Siyabuswa,
64,Stanger,
65,Sterkspruit,
66,The Oaks,
67,Thohoyandou,
68,Tshwane,
69,Tzaneen,
70,Ulundi,
71,Umtata,
72,Umzimkulu,
73,Upington,
74,Volksrust,
75,Vrede,
76,Vryheid,
77,Welkom,
78,West Rand,
79,Westonaria,
